epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,839.964,0.68253,0.50771,1.16235,0.9832,0.95833,0.97538,0.85425,0.60818,0.36942,1.16744,0.0006932,0.0006932,0.0006932
35,864.438,0.65789,0.49469,1.15281,0.98508,0.95139,0.97602,0.84774,0.6376,0.35962,1.19527,0.0006536,0.0006536,0.0006536
36,889.491,0.63772,0.47799,1.1232,0.98805,0.95833,0.97115,0.85719,0.59736,0.35577,1.15053,0.000614,0.000614,0.000614
37,914.525,0.63709,0.47496,1.13607,0.9871,0.95833,0.97617,0.86134,0.60668,0.37406,1.15564,0.0005744,0.0005744,0.0005744
38,939.856,0.65328,0.4761,1.13961,0.98523,0.95833,0.97446,0.84695,0.60761,0.3535,1.15679,0.0005348,0.0005348,0.0005348
39,965.059,0.63497,0.46999,1.12974,0.99134,0.95833,0.97522,0.86294,0.59327,0.33356,1.15194,0.0004952,0.0004952,0.0004952
40,990.057,0.65146,0.4493,1.15032,0.98516,0.95139,0.97411,0.85269,0.61834,0.36639,1.16382,0.0004556,0.0004556,0.0004556
41,1024.42,0.54389,0.3591,1.13158,0.96979,0.95833,0.97224,0.84617,0.60031,0.36289,1.17265,0.000416,0.000416,0.000416
42,1049.55,0.51756,0.32603,1.09524,0.97875,0.96528,0.97325,0.85452,0.59835,0.33768,1.15397,0.0003764,0.0003764,0.0003764
43,1074.51,0.52563,0.33461,1.11054,0.97198,0.96345,0.9723,0.8583,0.59482,0.34914,1.13461,0.0003368,0.0003368,0.0003368
44,1099.35,0.51194,0.32247,1.09267,0.98557,0.96528,0.97516,0.85339,0.60041,0.33449,1.13649,0.0002972,0.0002972,0.0002972
45,1124.47,0.50439,0.31833,1.09358,0.97247,0.95139,0.97335,0.86995,0.56459,0.3255,1.11908,0.0002576,0.0002576,0.0002576
46,1149.29,0.50588,0.3171,1.08582,0.9856,0.95092,0.97412,0.86491,0.55697,0.33598,1.11216,0.000218,0.000218,0.000218
47,1175,0.49582,0.31311,1.07636,0.98159,0.94444,0.97459,0.87461,0.57174,0.32107,1.12385,0.0001784,0.0001784,0.0001784
48,1200.41,0.48177,0.29599,1.07164,0.98116,0.95139,0.97451,0.87395,0.57331,0.32824,1.11695,0.0001388,0.0001388,0.0001388
49,1225.57,0.47265,0.29619,1.06656,0.97847,0.94691,0.96998,0.86688,0.56984,0.31894,1.11349,9.92e-05,9.92e-05,9.92e-05
50,1250.57,0.47135,0.2921,1.06504,0.9808,0.95139,0.97475,0.87376,0.55783,0.3186,1.10891,5.96e-05,5.96e-05,5.96e-05
