epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.3947,0.95627,1.69408,1.38004,0.88312,0.83951,0.90581,0.67359,1.02728,1.74013,1.63822,0.000663923,0.000663923,0.000663923
2,50.1664,1.07651,1.31537,1.44024,0.84505,0.75,0.82669,0.58622,1.09991,1.60751,1.65536,0.00130424,0.00130424,0.00130424
3,74.8676,1.09491,1.19495,1.44609,0.95912,0.84028,0.92738,0.69392,1.00543,1.07661,1.56236,0.00191817,0.00191817,0.00191817
4,99.5201,1.06148,1.12635,1.41941,0.8587,0.80188,0.87384,0.59241,1.17332,1.35879,1.72562,0.0018812,0.0018812,0.0018812
5,124.337,1.06546,1.0135,1.42035,0.90442,0.86806,0.91864,0.7089,0.96223,0.91792,1.52754,0.0018416,0.0018416,0.0018416
6,149.029,0.98268,0.96208,1.3666,0.93372,0.88042,0.91821,0.71955,0.91375,0.83077,1.48849,0.001802,0.001802,0.001802
7,173.789,0.98597,0.94049,1.3622,0.89429,0.94,0.94407,0.74823,0.88327,0.65977,1.47914,0.0017624,0.0017624,0.0017624
8,198.428,0.94936,0.85657,1.34884,0.94644,0.90972,0.94426,0.72222,0.98509,0.69207,1.56262,0.0017228,0.0017228,0.0017228
9,223.073,0.92076,0.81013,1.31614,0.92793,0.93056,0.92956,0.74593,0.93138,0.60966,1.49209,0.0016832,0.0016832,0.0016832
10,247.727,0.91939,0.81526,1.32662,0.9627,0.89626,0.93216,0.73049,0.91418,0.66542,1.4873,0.0016436,0.0016436,0.0016436
11,272.349,0.87815,0.75576,1.28206,0.91805,0.93354,0.93882,0.75011,0.82403,0.65866,1.42465,0.001604,0.001604,0.001604
12,296.834,0.89417,0.76803,1.30444,0.96162,0.95139,0.95137,0.78485,0.77092,0.51465,1.34891,0.0015644,0.0015644,0.0015644
13,321.436,0.84795,0.70696,1.28353,0.97016,0.91667,0.9364,0.75799,0.86097,0.58008,1.41735,0.0015248,0.0015248,0.0015248
14,345.955,0.84619,0.7062,1.26906,0.95081,0.93959,0.9516,0.78118,0.79295,0.56994,1.36213,0.0014852,0.0014852,0.0014852
15,370.499,0.85268,0.72343,1.27943,0.94275,0.9375,0.93907,0.79705,0.72528,0.47596,1.3139,0.0014456,0.0014456,0.0014456
16,395.03,0.79611,0.66484,1.23506,0.95346,0.91667,0.94997,0.79516,0.74218,0.51629,1.31134,0.001406,0.001406,0.001406
17,420.666,0.80245,0.66036,1.24005,0.98543,0.93915,0.95877,0.79673,0.765,0.43396,1.33252,0.0013664,0.0013664,0.0013664
18,445.675,0.77936,0.6109,1.22887,0.97192,0.96528,0.96569,0.81383,0.71566,0.41627,1.27712,0.0013268,0.0013268,0.0013268
19,470.697,0.77993,0.61756,1.22554,0.95789,0.94785,0.9527,0.81114,0.71249,0.40961,1.30001,0.0012872,0.0012872,0.0012872
20,495.623,0.7891,0.61277,1.24069,0.96496,0.96528,0.96197,0.79991,0.76816,0.45593,1.31174,0.0012476,0.0012476,0.0012476
21,520.574,0.79471,0.61994,1.22827,0.98199,0.9375,0.95587,0.82306,0.68322,0.43967,1.28269,0.001208,0.001208,0.001208
22,545.618,0.77772,0.60874,1.22734,0.9787,0.95745,0.95732,0.82213,0.70861,0.41701,1.27401,0.0011684,0.0011684,0.0011684
23,570.337,0.74021,0.5895,1.20257,0.97886,0.96459,0.96699,0.82185,0.69034,0.41208,1.26102,0.0011288,0.0011288,0.0011288
24,594.477,0.74633,0.58587,1.20168,0.9635,0.95139,0.95596,0.83788,0.66919,0.37798,1.25326,0.0010892,0.0010892,0.0010892
25,618.863,0.72781,0.56571,1.19027,0.98575,0.96087,0.97537,0.84348,0.65607,0.38545,1.2318,0.0010496,0.0010496,0.0010496
26,643.373,0.73173,0.57097,1.17627,0.96575,0.96528,0.96587,0.82457,0.66292,0.41066,1.22949,0.00101,0.00101,0.00101
27,667.825,0.71082,0.54145,1.17903,0.97701,0.96528,0.97122,0.83737,0.67166,0.3951,1.23713,0.0009704,0.0009704,0.0009704
28,692.319,0.72068,0.56022,1.18782,0.96434,0.94444,0.95959,0.83209,0.65473,0.3921,1.22528,0.0009308,0.0009308,0.0009308
29,717.276,0.72068,0.55386,1.18605,0.97138,0.95139,0.95766,0.83823,0.67033,0.36566,1.22358,0.0008912,0.0008912,0.0008912
30,741.98,0.7089,0.54266,1.1774,0.98316,0.95139,0.95892,0.84131,0.65413,0.38024,1.21758,0.0008516,0.0008516,0.0008516
31,766.255,0.6711,0.51102,1.15172,0.98446,0.95139,0.96022,0.83768,0.63356,0.38307,1.22654,0.000812,0.000812,0.000812
32,790.68,0.70055,0.53133,1.16957,0.98569,0.95689,0.97245,0.85029,0.61424,0.37082,1.17917,0.0007724,0.0007724,0.0007724
33,815.391,0.68288,0.51071,1.16224,0.98525,0.96528,0.97489,0.84673,0.62802,0.37073,1.19655,0.0007328,0.0007328,0.0007328
